15	15	15	15	15	15	1	1	1	15	15	15	15	15	1	1	1	15	15	15	15	15	15
15	15	15	15	15	15	1	9	11	1	15	15	15	1	11	9	1	15	15	15	15	15	15
15	15	15	15	15	15	1	11	9	11	1	15	1	11	9	11	1	15	15	15	15	15	15
15	15	15	15	15	15	15	1	11	9	11	1	11	9	11	1	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	1	11	1	11	9	11	1	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	1	11	9	11	1	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	1	11	9	11	1	11	1	15	15	15	15	15	15	15	15
15	15	1	1	15	15	15	1	11	9	11	1	11	9	11	1	15	15	15	1	1	15	15
15	15	1	3	1	15	1	11	9	11	1	15	1	11	9	11	1	15	1	3	1	15	15
15	15	15	1	3	1	11	9	11	1	15	15	15	1	11	9	11	1	3	1	15	15	15
15	15	15	1	3	1	9	11	1	15	15	15	15	15	1	11	9	1	3	1	15	15	15
15	15	15	15	1	3	1	1	15	15	15	15	15	15	15	1	1	3	1	15	15	15	15
15	15	15	8	6	1	3	3	1	15	15	15	15	15	1	3	3	1	6	8	15	15	15
15	15	8	6	8	15	1	1	3	1	15	15	15	1	3	1	1	15	8	6	8	15	15
1	1	6	8	15	15	15	15	1	1	15	15	15	1	1	15	15	15	15	8	6	1	1
1	9	1	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	1	9	1
1	1	1	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	1	1	1
